,take out chopping board from drawer
,take out knife from drawer
,take out bread from cupboard
,take out jam from cupboard
,take out peanut butter from cupboard
,take out spoon from drawer
,remove bread from package
,cut bread slices
,put bread into package
,screw open jam
,put jam on bread
,spread jam on bread
,screw close jam
,take out spoon from drawer
,screw open peanut butter
,put peanut butter on bread
,screw close peanut butter
,put one bread piece on top of the other
-1,complete
,take out plate from cupboard
,take out butter case from fridge
,take out bread from cupboard
,take out knife from drawer
,take out chopping board from drawer
,remove bread from package
,cut bread slices
,put bread slices on plate
,take out butter knife from drawer
,remove lid from butter case
,spread butter
,screw open peanut spread
,stir peanut spread
,spread peanut spread on bread
,screw close peanut spread
,put one bread piece on top of the other
-1,complete
,take out chopping board from drawer
,take out knife from drawer
,take out bread from cupboard
,take out butter case from fridge
,take out plate from cupboard
,remove bread from package
,cut bread slices
,put bread slices on plate
,take knife from drawer
,remove cheese from package
,cut cheese slices
,pack cheese
,take out butter knife from drawer
,remove lid from butter case
,take out tomato from fridge
,wash tomato
,take out knife from drawer
,cut tomato apart
,cut tomato slices
,put butter on bread
,spread butter
,cut cheese stripes
,put cheese on bread
,put one bread piece on top of the other
-1,complete
